Variable,Model,sdev,coef,site
Rn,S-CNTL,0.921904410914459,0.9986894485534944,AU-Preston
Rn,S-WRF_LCZ,0.9687264984275941,0.9988565090785283,AU-Preston
Rn,S-LI_LCZ,0.9629507932746618,0.9988698692675612,AU-Preston
SWup,S-CNTL,1.0121841306278538,0.9967015385627747,AU-Preston
SWup,S-WRF_LCZ,1.0121841306278538,0.9967015385627747,AU-Preston
SWup,S-LI_LCZ,1.0121841306278538,0.9967015385627747,AU-Preston
LWup,S-CNTL,1.3322364188969873,0.9726340174674988,AU-Preston
LWup,S-WRF_LCZ,1.1501697169719243,0.9877896308898926,AU-Preston
LWup,S-LI_LCZ,1.1709001105418821,0.9872755408287048,AU-Preston
Qh,S-CNTL,1.0832772141346072,0.9398038387298584,AU-Preston
Qh,S-WRF_LCZ,0.9197483294447981,0.9118906259536743,AU-Preston
Qh,S-LI_LCZ,0.939409842765616,0.9171581864356995,AU-Preston
Qle,S-CNTL,0.7810960197578181,0.6169531941413879,AU-Preston
Qle,S-WRF_LCZ,0.7590504351049222,0.6131647825241089,AU-Preston
Qle,S-LI_LCZ,0.7624055722145245,0.6138319373130798,AU-Preston
Qtau,S-CNTL,0.4207845185662328,0.8607375621795654,AU-Preston
Qtau,S-WRF_LCZ,0.4095925445150349,0.8531372547149658,AU-Preston
Qtau,S-LI_LCZ,0.4106306019588759,0.8540943264961243,AU-Preston
Rn,S-CNTL,0.952025556386084,0.9986753730907428,AU-SurreyHills
Rn,S-WRF_LCZ,0.9922941432483217,0.9988877635972208,AU-SurreyHills
Rn,S-LI_LCZ,0.9874238521484286,0.9988923448389911,AU-SurreyHills
SWup,S-CNTL,0.9880780429491373,0.9956803917884827,AU-SurreyHills
SWup,S-WRF_LCZ,0.9880780429491373,0.9956803917884827,AU-SurreyHills
SWup,S-LI_LCZ,0.9880780429491373,0.9956803917884827,AU-SurreyHills
LWup,S-CNTL,1.1919256332851411,0.9790756106376648,AU-SurreyHills
LWup,S-WRF_LCZ,1.0790305131719646,0.9901188611984253,AU-SurreyHills
LWup,S-LI_LCZ,1.0921662003911476,0.9898449182510376,AU-SurreyHills
Qh,S-CNTL,0.8189123343979029,0.9309665560722351,AU-SurreyHills
Qh,S-WRF_LCZ,0.7076888768808284,0.9047106504440308,AU-SurreyHills
Qh,S-LI_LCZ,0.7201058760321289,0.9090782403945923,AU-SurreyHills
Qle,S-CNTL,0.5323564013421324,0.5113921165466309,AU-SurreyHills
Qle,S-WRF_LCZ,0.5050758260829761,0.5046419501304626,AU-SurreyHills
Qle,S-LI_LCZ,0.5074318546483282,0.5059047341346741,AU-SurreyHills
Qtau,S-CNTL,0.38909300396766816,0.8457737565040588,AU-SurreyHills
Qtau,S-WRF_LCZ,0.3812946794429228,0.8369337916374207,AU-SurreyHills
Qtau,S-LI_LCZ,0.381893592148055,0.8380428552627563,AU-SurreyHills
Rn,S-CNTL,0.9146860554317464,0.9979159782209126,CA-Sunset
Rn,S-WRF_LCZ,0.9305893238681723,0.9979907108826217,CA-Sunset
Rn,S-LI_LCZ,0.930574619771757,0.9979980344966196,CA-Sunset
SWup,S-CNTL,0.9687902060818098,0.9780657291412354,CA-Sunset
SWup,S-WRF_LCZ,0.9687726289109035,0.9780632853507996,CA-Sunset
SWup,S-LI_LCZ,0.968776836573437,0.978062629699707,CA-Sunset
LWup,S-CNTL,1.289829263375787,0.9574149250984192,CA-Sunset
LWup,S-WRF_LCZ,1.2371255469846183,0.9643524289131165,CA-Sunset
LWup,S-LI_LCZ,1.2339920034884306,0.9641366600990295,CA-Sunset
Qh,S-CNTL,0.7461799187644024,0.9462036490440369,CA-Sunset
Qh,S-WRF_LCZ,0.6976850850244473,0.9440223574638367,CA-Sunset
Qh,S-LI_LCZ,0.707983507317158,0.944776177406311,CA-Sunset
Qle,S-CNTL,1.003727400042654,0.6978926658630371,CA-Sunset
Qle,S-WRF_LCZ,0.9906310548236011,0.6977471709251404,CA-Sunset
Qle,S-LI_LCZ,0.9925404195838915,0.6975529789924622,CA-Sunset
Qtau,S-CNTL,0.5998522376659652,0.3229323625564575,CA-Sunset
Qtau,S-WRF_LCZ,0.5915888531020749,0.31880244612693787,CA-Sunset
Qtau,S-LI_LCZ,0.5922502145053012,0.31925782561302185,CA-Sunset
Rn,S-CNTL,0.9615740341152773,0.9956605790393084,FI-Kumpula
Rn,S-WRF_LCZ,0.9804189219375739,0.9960544487242314,FI-Kumpula
Rn,S-LI_LCZ,0.9830523999522657,0.9960893897335085,FI-Kumpula
SWup,S-CNTL,0.9135261067460426,0.9397639036178589,FI-Kumpula
SWup,S-WRF_LCZ,0.9083905438441087,0.9502195119857788,FI-Kumpula
SWup,S-LI_LCZ,0.9104624784229595,0.9506203532218933,FI-Kumpula
LWup,S-CNTL,1.05100726083189,0.9903143644332886,FI-Kumpula
LWup,S-WRF_LCZ,1.0252261205906068,0.9935317039489746,FI-Kumpula
LWup,S-LI_LCZ,1.020055148928585,0.9936764240264893,FI-Kumpula
Qh,S-CNTL,0.7882633860091731,0.7867867350578308,FI-Kumpula
