Variable,Model,sdev,coef,site
Rn,S-CNTL,0.921904410914459,0.9986894485534944,AU-Preston
Rn,S-WRF_LCZ,0.9687264984275941,0.9988565090785283,AU-Preston
Rn,S-LI_LCZ,0.9629507932746618,0.9988698692675612,AU-Preston
SWup,S-CNTL,1.0121841306278538,0.9967015647115389,AU-Preston
SWup,S-WRF_LCZ,1.0121841306278538,0.9967015647115389,AU-Preston
SWup,S-LI_LCZ,1.0121841306278538,0.9967015647115389,AU-Preston
LWup,S-CNTL,1.3322364188969873,0.9726340019579821,AU-Preston
LWup,S-WRF_LCZ,1.1501697169719243,0.9877896815354116,AU-Preston
LWup,S-LI_LCZ,1.1709001105418821,0.9872755545303882,AU-Preston
Qh,S-CNTL,1.083277124293261,0.9398038172721485,AU-Preston
Qh,S-WRF_LCZ,0.9197482531656823,0.9118906209814722,AU-Preston
Qh,S-LI_LCZ,0.9394097648558772,0.9171582194511488,AU-Preston
Qle,S-CNTL,0.7810960197578181,0.6169531878107762,AU-Preston
Qle,S-WRF_LCZ,0.7590504351049222,0.6131647430388238,AU-Preston
Qle,S-LI_LCZ,0.7624055722145245,0.6138319171358194,AU-Preston
Qtau,S-CNTL,0.4207845185662328,0.8607375430313011,AU-Preston
Qtau,S-WRF_LCZ,0.4095925445150349,0.8531372890163541,AU-Preston
Qtau,S-LI_LCZ,0.4106306019588759,0.8540943574338107,AU-Preston
Rn,S-CNTL,0.952025556386084,0.9986753730907428,AU-SurreyHills
Rn,S-WRF_LCZ,0.9922941432483217,0.9988877635972208,AU-SurreyHills
Rn,S-LI_LCZ,0.9874238521484286,0.9988923448389911,AU-SurreyHills
SWup,S-CNTL,0.9880780429491373,0.9956804433626938,AU-SurreyHills
SWup,S-WRF_LCZ,0.9880780429491373,0.9956804433626938,AU-SurreyHills
SWup,S-LI_LCZ,0.9880780429491373,0.9956804433626938,AU-SurreyHills
LWup,S-CNTL,1.1919256332851411,0.9790756436729497,AU-SurreyHills
LWup,S-WRF_LCZ,1.0790305131719646,0.9901188908975319,AU-SurreyHills
LWup,S-LI_LCZ,1.0921662003911476,0.9898449186499332,AU-SurreyHills
Qh,S-CNTL,0.8189123343979029,0.9309665296163857,AU-SurreyHills
Qh,S-WRF_LCZ,0.7076888768808284,0.9047107081800202,AU-SurreyHills
Qh,S-LI_LCZ,0.7201058244708003,0.9090782373777991,AU-SurreyHills
Qle,S-CNTL,0.5323564013421324,0.5113921247483254,AU-SurreyHills
Qle,S-WRF_LCZ,0.5050758260829761,0.504641963745873,AU-SurreyHills
Qle,S-LI_LCZ,0.5074318546483282,0.5059047147869201,AU-SurreyHills
Qtau,S-CNTL,0.3890929719686672,0.8457737374240383,AU-SurreyHills
Qtau,S-WRF_LCZ,0.38129464808525587,0.8369337661061877,AU-SurreyHills
Qtau,S-LI_LCZ,0.38189356074113356,0.8380428685040515,AU-SurreyHills
Rn,S-CNTL,0.9146860554317464,0.9979159782209126,CA-Sunset
Rn,S-WRF_LCZ,0.9305893238681723,0.9979907108826217,CA-Sunset
Rn,S-LI_LCZ,0.930574619771757,0.9979980344966196,CA-Sunset
SWup,S-CNTL,0.9687902718292699,0.9780657257956433,CA-Sunset
SWup,S-WRF_LCZ,0.9687726946571709,0.9780633134872685,CA-Sunset
SWup,S-LI_LCZ,0.9687769023199899,0.9780626758516583,CA-Sunset
LWup,S-CNTL,1.289829263375787,0.9574148556762666,CA-Sunset
LWup,S-WRF_LCZ,1.2371255469846183,0.9643524870989987,CA-Sunset
LWup,S-LI_LCZ,1.2339920034884306,0.9641366351575535,CA-Sunset
Qh,S-CNTL,0.7461799187644024,0.9462036694761448,CA-Sunset
Qh,S-WRF_LCZ,0.6976850850244473,0.9440223838184111,CA-Sunset
Qh,S-LI_LCZ,0.707983507317158,0.9447761538283822,CA-Sunset
Qle,S-CNTL,1.003727400042654,0.697892660348922,CA-Sunset
Qle,S-WRF_LCZ,0.9906310548236011,0.6977471374275084,CA-Sunset
Qle,S-LI_LCZ,0.9925404195838915,0.6975529990739164,CA-Sunset
Qtau,S-CNTL,0.5998522376659652,0.32293237103715655,CA-Sunset
Qtau,S-WRF_LCZ,0.5915888131792568,0.31880245484698994,CA-Sunset
Qtau,S-LI_LCZ,0.5922502145053012,0.3192578105413799,CA-Sunset
Rn,S-CNTL,0.9615740341152773,0.9956605790393084,FI-Kumpula
Rn,S-WRF_LCZ,0.9804189219375739,0.9960544487242314,FI-Kumpula
Rn,S-LI_LCZ,0.9830523999522657,0.9960893897335085,FI-Kumpula
SWup,S-CNTL,0.9135261067460426,0.939763920801273,FI-Kumpula
SWup,S-WRF_LCZ,0.9083905438441087,0.9502195048485981,FI-Kumpula
SWup,S-LI_LCZ,0.9104624784229595,0.9506203332884873,FI-Kumpula
LWup,S-CNTL,1.05100726083189,0.9903143298159445,FI-Kumpula
LWup,S-WRF_LCZ,1.0252261205906068,0.9935317077459915,FI-Kumpula
LWup,S-LI_LCZ,1.020055148928585,0.9936764106215482,FI-Kumpula
Qh,S-CNTL,0.7882633350459779,0.7867867381629291,FI-Kumpula
