Site,Variable,Model,mean_sdev,mean_coef
AU-Preston,Rn,CNTL,0.9229131607958053,0.9990810845551862
AU-Preston,Rn,WRF_LCZ,0.9698827989738943,0.9991708085689013
AU-Preston,Rn,LI_LCZ,0.9641021493190309,0.9991867875598636
AU-Preston,Rn,CESM_LCZ,0.9642085390505821,0.9992045527717562
AU-Preston,SWup,CNTL,1.0092912360047686,0.9977144598960876
AU-Preston,SWup,WRF_LCZ,1.0092912360047686,0.9977144598960876
AU-Preston,SWup,LI_LCZ,1.0092912360047686,0.9977144598960876
AU-Preston,SWup,CESM_LCZ,1.0092912360047686,0.9977144598960876
AU-Preston,LWup,CNTL,1.3319087967373875,0.9725887179374695
AU-Preston,LWup,WRF_LCZ,1.1499358958531825,0.9877595901489258
AU-Preston,LWup,LI_LCZ,1.1706564584156345,0.9872440695762634
AU-Preston,LWup,CESM_LCZ,1.1658368468675202,0.9870045781135559
AU-Preston,Qh,CNTL,1.0824464050871423,0.9394463896751404
AU-Preston,Qh,WRF_LCZ,0.919037477356743,0.9115651845932007
AU-Preston,Qh,LI_LCZ,0.9386823833429844,0.9168236255645752
AU-Preston,Qh,CESM_LCZ,0.9357255598295069,0.9184210896492004
AU-Preston,Qle,CNTL,0.769164195474144,0.6097012162208557
AU-Preston,Qle,WRF_LCZ,0.7475037562415118,0.6061748266220093
AU-Preston,Qle,LI_LCZ,0.7507959362419334,0.6067935228347778
AU-Preston,Qle,CESM_LCZ,0.7475876453946299,0.60605388879776
AU-Preston,Qtau,CNTL,0.21837246548382258,0.4806726276874542
AU-Preston,Qtau,WRF_LCZ,0.21279969672893845,0.4771617352962494
AU-Preston,Qtau,LI_LCZ,0.2133173113194806,0.4775872826576233
AU-Preston,Qtau,CESM_LCZ,0.21339806562241823,0.47808197140693665
AU-SurreyHills,Rn,CNTL,0.9389573097215841,0.9990603446142123
AU-SurreyHills,Rn,WRF_LCZ,0.9785327728505081,0.9991711367820415
AU-SurreyHills,Rn,LI_LCZ,0.9737567040863266,0.9991809474092065
AU-SurreyHills,Rn,CESM_LCZ,0.9740895404391711,0.9992184281847898
AU-SurreyHills,SWup,CNTL,0.9907960018909792,0.997184157371521
AU-SurreyHills,SWup,WRF_LCZ,0.9907960018909792,0.997184157371521
AU-SurreyHills,SWup,LI_LCZ,0.9907960018909792,0.997184157371521
AU-SurreyHills,SWup,CESM_LCZ,0.9907960018909792,0.997184157371521
AU-SurreyHills,LWup,CNTL,1.1919256332851411,0.9790756106376648
AU-SurreyHills,LWup,WRF_LCZ,1.0790305131719646,0.9901188611984253
AU-SurreyHills,LWup,LI_LCZ,1.0921662003911476,0.9898449182510376
AU-SurreyHills,LWup,CESM_LCZ,1.0825619446389674,0.9898033142089844
AU-SurreyHills,Qh,CNTL,0.8176951600414778,0.9297834634780884
AU-SurreyHills,Qh,WRF_LCZ,0.7066808215256861,0.9036425948143005
AU-SurreyHills,Qh,LI_LCZ,0.7190729154467088,0.9079861044883728
AU-SurreyHills,Qh,CESM_LCZ,0.7142601912770347,0.9104284048080444
AU-SurreyHills,Qle,CNTL,0.4997387241350499,0.47864457964897156
AU-SurreyHills,Qle,WRF_LCZ,0.4745510264774838,0.47559165954589844
AU-SurreyHills,Qle,LI_LCZ,0.4766759670274874,0.4762670695781708
AU-SurreyHills,Qle,CESM_LCZ,0.4773417749749475,0.4741649925708771
AU-SurreyHills,Qtau,CNTL,0.3687064440400908,0.8068945407867432
AU-SurreyHills,Qtau,WRF_LCZ,0.3614356098737001,0.7985692024230957
AU-SurreyHills,Qtau,LI_LCZ,0.36199379390050596,0.7996295690536499
AU-SurreyHills,Qtau,CESM_LCZ,0.36289664045269665,0.7989619374275208
CA-Sunset,Rn,CNTL,0.9196437846747696,0.9981255650622902
CA-Sunset,Rn,WRF_LCZ,0.9362514643643748,0.9981233944469189
CA-Sunset,Rn,LI_LCZ,0.936031836972585,0.9981497499062082
CA-Sunset,Rn,CESM_LCZ,0.9360835360847499,0.9981728071740775
CA-Sunset,SWup,CNTL,0.9577777112430012,0.9841952323913574
CA-Sunset,SWup,WRF_LCZ,0.9577603214718461,0.9841935634613037
CA-Sunset,SWup,LI_LCZ,0.9577628165259683,0.9841929078102112
CA-Sunset,SWup,CESM_LCZ,0.957750794901561,0.9841820001602173
CA-Sunset,LWup,CNTL,1.2873371366593331,0.9540672898292542
CA-Sunset,LWup,WRF_LCZ,1.2347048000301768,0.961059033870697
CA-Sunset,LWup,LI_LCZ,1.2315783268366276,0.9608400464057922
CA-Sunset,LWup,CESM_LCZ,1.2275646802011717,0.9604213237762451
CA-Sunset,Qh,CNTL,0.7440874958144617,0.943723738193512
CA-Sunset,Qh,WRF_LCZ,0.6957667703275462,0.9414737224578857
CA-Sunset,Qh,LI_LCZ,0.7060350942398358,0.9422275424003601
CA-Sunset,Qh,CESM_LCZ,0.7054790643376192,0.9425632953643799
CA-Sunset,Qle,CNTL,0.890135192017178,0.6196072697639465
CA-Sunset,Qle,WRF_LCZ,0.8784351909669086,0.619205892086029
CA-Sunset,Qle,LI_LCZ,0.8801635172613265,0.6190738081932068
CA-Sunset,Qle,CESM_LCZ,0.8780967211706824,0.6196199059486389
CA-Sunset,Qtau,CNTL,0.4121620968654386,0.24590274691581726
CA-Sunset,Qtau,WRF_LCZ,0.4065656856308875,0.2431207299232483
CA-Sunset,Qtau,LI_LCZ,0.4070163606825026,0.2433963418006897
CA-Sunset,Qtau,CESM_LCZ,0.4073594296683062,0.24335506558418274
FI-Kumpula,Rn,CNTL,0.96712551480802,0.9964056238563721
FI-Kumpula,Rn,WRF_LCZ,0.9857520097006857,0.9967201289626227
