Variable,Index,Type,sdev,coef,site
SWup,0,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,0,morp,1.1772654247204486,0.9742457270622253,AU-Preston
Qh,0,morp,0.7486668930698478,0.9279659390449524,AU-Preston
Qle,0,morp,0.5366988361909257,0.4364273250102997,AU-Preston
Qtau,0,morp,0.2334635283912426,0.8707842230796814,AU-Preston
SWup,1,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,1,morp,1.1823671225052037,0.9742469191551208,AU-Preston
Qh,1,morp,0.7375851253109967,0.9236879348754883,AU-Preston
Qle,1,morp,0.5393017631674949,0.4440043568611145,AU-Preston
Qtau,1,morp,0.23284471825853828,0.8717725276947021,AU-Preston
SWup,2,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,2,morp,1.1419365783723239,0.9818299412727356,AU-Preston
Qh,2,morp,0.9242978776811112,0.9343273639678955,AU-Preston
Qle,2,morp,0.5556891474448166,0.41183769702911377,AU-Preston
Qtau,2,morp,0.43267547665259937,0.8923647999763489,AU-Preston
SWup,3,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,3,morp,1.148790183854838,0.9818761944770813,AU-Preston
Qh,3,morp,0.9080193131757159,0.9349467754364014,AU-Preston
Qle,3,morp,0.5526718739265576,0.4243399500846863,AU-Preston
Qtau,3,morp,0.43276586481486407,0.8961292505264282,AU-Preston
SWup,4,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,4,morp,1.1818729917257975,0.974047064781189,AU-Preston
Qh,4,morp,0.7577541155985112,0.9265701174736023,AU-Preston
Qle,4,morp,0.5391210405903052,0.43689921498298645,AU-Preston
Qtau,4,morp,0.23335556884087233,0.8703415989875793,AU-Preston
SWup,5,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,5,morp,1.187095155585813,0.9740400314331055,AU-Preston
Qh,5,morp,0.7465207913002117,0.9223496913909912,AU-Preston
Qle,5,morp,0.5420467017736477,0.444161057472229,AU-Preston
Qtau,5,morp,0.23274343995624164,0.8713369369506836,AU-Preston
SWup,6,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,6,morp,1.146418008949206,0.9817348718643188,AU-Preston
Qh,6,morp,0.9282057583047605,0.9332811236381531,AU-Preston
Qle,6,morp,0.5584277593310005,0.41314396262168884,AU-Preston
Qtau,6,morp,0.43305630779279586,0.8930684924125671,AU-Preston
SWup,7,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,7,morp,1.1534299214355206,0.9817570447921753,AU-Preston
Qh,7,morp,0.9119444904399148,0.9338148832321167,AU-Preston
Qle,7,morp,0.5557814389191646,0.4252108037471771,AU-Preston
Qtau,7,morp,0.43316747551955387,0.8964521884918213,AU-Preston
SWup,8,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,8,morp,1.1776919741473553,0.974193811416626,AU-Preston
Qh,8,morp,0.752484282732574,0.926063060760498,AU-Preston
Qle,8,morp,0.5393216011877362,0.43672648072242737,AU-Preston
Qtau,8,morp,0.23362315724114255,0.8715605735778809,AU-Preston
SWup,9,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,9,morp,1.1825722967140766,0.9742487072944641,AU-Preston
Qh,9,morp,0.7424884065048024,0.9220620393753052,AU-Preston
Qle,9,morp,0.5408495219323075,0.4448755383491516,AU-Preston
Qtau,9,morp,0.23300759943404237,0.8726136684417725,AU-Preston
SWup,10,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,10,morp,1.1416521349400568,0.9817458987236023,AU-Preston
Qh,10,morp,0.9287302472892262,0.9333095550537109,AU-Preston
Qle,10,morp,0.5601571700216988,0.41079869866371155,AU-Preston
Qtau,10,morp,0.43263897996708706,0.8926069736480713,AU-Preston
SWup,11,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,11,morp,1.1483794882726102,0.9818650484085083,AU-Preston
Qh,11,morp,0.9128535132746443,0.9338454604148865,AU-Preston
Qle,11,morp,0.5559003955522516,0.42433345317840576,AU-Preston
Qtau,11,morp,0.4327697499459025,0.8963410258293152,AU-Preston
SWup,12,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,12,morp,1.1836887776882479,0.9739383459091187,AU-Preston
Qh,12,morp,0.7622944310090797,0.9246564507484436,AU-Preston
Qle,12,morp,0.5420576394929159,0.4372911751270294,AU-Preston
Qtau,12,morp,0.23348919380234479,0.8707717657089233,AU-Preston
SWup,13,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,13,morp,1.1887430296604604,0.9739753603935242,AU-Preston
Qh,13,morp,0.7519050034751482,0.9207354187965393,AU-Preston
Qle,13,morp,0.5438640788928397,0.4452621042728424,AU-Preston
Qtau,13,morp,0.23289557815576833,0.8717911243438721,AU-Preston
SWup,14,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,14,morp,1.1475325226579791,0.981651782989502,AU-Preston
Qh,14,morp,0.933229799580451,0.9320263266563416,AU-Preston
Qle,14,morp,0.5632030031402693,0.412551611661911,AU-Preston
Qtau,14,morp,0.43312312027353206,0.8932926058769226,AU-Preston
SWup,15,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,15,morp,1.1543895997853135,0.9817365407943726,AU-Preston
Qh,15,morp,0.9173399876181366,0.9325798153877258,AU-Preston
Qle,15,morp,0.5593930666726907,0.4255411922931671,AU-Preston
Qtau,15,morp,0.43330663384947493,0.896719753742218,AU-Preston
SWup,16,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,16,morp,1.185891304883667,0.9716522097587585,AU-Preston
Qh,16,morp,0.7127034332776817,0.9253501296043396,AU-Preston
Qle,16,morp,0.5362037792894071,0.4391932785511017,AU-Preston
Qtau,16,morp,0.20679113252982545,0.8653035759925842,AU-Preston
SWup,17,morp,1.101053261035986,0.9973574876785278,AU-Preston
