time,lndgrid,urban_heat,hour,minute,index,site,date
00:30,0,0.33332026,0,30,0,AU-Pre,2004-05-18 00:30:00
01:00,0,0.0,1,0,0,AU-Pre,2004-05-18 01:00:00
01:30,0,0.0,1,30,0,AU-Pre,2004-05-18 01:30:00
02:00,0,0.0,2,0,0,AU-Pre,2004-05-18 02:00:00
02:30,0,0.0,2,30,0,AU-Pre,2004-05-18 02:30:00
03:00,0,0.0,3,0,0,AU-Pre,2004-05-18 03:00:00
03:30,0,0.0,3,30,0,AU-Pre,2004-05-18 03:30:00
04:00,0,0.0,4,0,0,AU-Pre,2004-05-18 04:00:00
04:30,0,0.0,4,30,0,AU-Pre,2004-05-18 04:30:00
05:00,0,0.0,5,0,0,AU-Pre,2004-05-18 05:00:00
05:30,0,0.0,5,30,0,AU-Pre,2004-05-18 05:30:00
06:00,0,0.0,6,0,0,AU-Pre,2004-05-18 06:00:00
06:30,0,0.0,6,30,0,AU-Pre,2004-05-18 06:30:00
07:00,0,0.0,7,0,0,AU-Pre,2004-05-18 07:00:00
07:30,0,0.0,7,30,0,AU-Pre,2004-05-18 07:30:00
08:00,0,0.0,8,0,0,AU-Pre,2004-05-18 08:00:00
08:30,0,0.0,8,30,0,AU-Pre,2004-05-18 08:30:00
09:00,0,0.0,9,0,0,AU-Pre,2004-05-18 09:00:00
09:30,0,0.0,9,30,0,AU-Pre,2004-05-18 09:30:00
10:00,0,0.0,10,0,0,AU-Pre,2004-05-18 10:00:00
10:30,0,0.0,10,30,0,AU-Pre,2004-05-18 10:30:00
11:00,0,0.0,11,0,0,AU-Pre,2004-05-18 11:00:00
11:30,0,0.0,11,30,0,AU-Pre,2004-05-18 11:30:00
12:00,0,0.0,12,0,0,AU-Pre,2004-05-18 12:00:00
12:30,0,0.0,12,30,0,AU-Pre,2004-05-18 12:30:00
13:00,0,0.0,13,0,0,AU-Pre,2004-05-18 13:00:00
13:30,0,0.0,13,30,0,AU-Pre,2004-05-18 13:30:00
14:00,0,0.0,14,0,0,AU-Pre,2004-05-18 14:00:00
14:30,0,0.18891685,14,30,0,AU-Pre,2004-05-18 14:30:00
15:00,0,0.6491531,15,0,0,AU-Pre,2004-05-18 15:00:00
15:30,0,1.164539,15,30,0,AU-Pre,2004-05-18 15:30:00
16:00,0,1.6685419,16,0,0,AU-Pre,2004-05-18 16:00:00
16:30,0,2.165824,16,30,0,AU-Pre,2004-05-18 16:30:00
17:00,0,2.6478462,17,0,0,AU-Pre,2004-05-18 17:00:00
17:30,0,3.1165845,17,30,0,AU-Pre,2004-05-18 17:30:00
18:00,0,3.5549757,18,0,0,AU-Pre,2004-05-18 18:00:00
18:30,0,3.9837165,18,30,0,AU-Pre,2004-05-18 18:30:00
19:00,0,4.4090376,19,0,0,AU-Pre,2004-05-18 19:00:00
19:30,0,4.8387184,19,30,0,AU-Pre,2004-05-18 19:30:00
20:00,0,5.913096,20,0,0,AU-Pre,2004-05-18 20:00:00
20:30,0,6.388044,20,30,0,AU-Pre,2004-05-18 20:30:00
21:00,0,6.6985598,21,0,0,AU-Pre,2004-05-18 21:00:00
21:30,0,6.99406,21,30,0,AU-Pre,2004-05-18 21:30:00
22:00,0,7.252615,22,0,0,AU-Pre,2004-05-18 22:00:00
22:30,0,7.430089,22,30,0,AU-Pre,2004-05-18 22:30:00
23:00,0,7.452452,23,0,0,AU-Pre,2004-05-18 23:00:00
23:30,0,7.242336,23,30,0,AU-Pre,2004-05-18 23:30:00
00:00,0,6.753919,0,0,0,AU-Pre,2004-05-19 00:00:00
00:30,0,5.9911737,0,30,0,AU-Pre,2004-05-19 00:30:00
01:00,0,5.0165653,1,0,0,AU-Pre,2004-05-19 01:00:00
01:30,0,3.8966422,1,30,0,AU-Pre,2004-05-19 01:30:00
02:00,0,2.6003146,2,0,0,AU-Pre,2004-05-19 02:00:00
02:30,0,1.2348707,2,30,0,AU-Pre,2004-05-19 02:30:00
03:00,0,0.16766992,3,0,0,AU-Pre,2004-05-19 03:00:00
03:30,0,0.0,3,30,0,AU-Pre,2004-05-19 03:30:00
04:00,0,0.0,4,0,0,AU-Pre,2004-05-19 04:00:00
04:30,0,0.0,4,30,0,AU-Pre,2004-05-19 04:30:00
05:00,0,0.0,5,0,0,AU-Pre,2004-05-19 05:00:00
05:30,0,0.0,5,30,0,AU-Pre,2004-05-19 05:30:00
06:00,0,0.0,6,0,0,AU-Pre,2004-05-19 06:00:00
06:30,0,0.0,6,30,0,AU-Pre,2004-05-19 06:30:00
07:00,0,0.0,7,0,0,AU-Pre,2004-05-19 07:00:00
07:30,0,0.0,7,30,0,AU-Pre,2004-05-19 07:30:00
08:00,0,0.0,8,0,0,AU-Pre,2004-05-19 08:00:00
08:30,0,0.0,8,30,0,AU-Pre,2004-05-19 08:30:00
09:00,0,0.0,9,0,0,AU-Pre,2004-05-19 09:00:00
09:30,0,0.0,9,30,0,AU-Pre,2004-05-19 09:30:00
10:00,0,0.0,10,0,0,AU-Pre,2004-05-19 10:00:00
10:30,0,0.0,10,30,0,AU-Pre,2004-05-19 10:30:00
11:00,0,0.0,11,0,0,AU-Pre,2004-05-19 11:00:00
11:30,0,0.0,11,30,0,AU-Pre,2004-05-19 11:30:00
12:00,0,0.0,12,0,0,AU-Pre,2004-05-19 12:00:00
12:30,0,0.0,12,30,0,AU-Pre,2004-05-19 12:30:00
13:00,0,0.0,13,0,0,AU-Pre,2004-05-19 13:00:00
13:30,0,0.0,13,30,0,AU-Pre,2004-05-19 13:30:00
14:00,0,0.0,14,0,0,AU-Pre,2004-05-19 14:00:00
14:30,0,0.0,14,30,0,AU-Pre,2004-05-19 14:30:00
15:00,0,0.0,15,0,0,AU-Pre,2004-05-19 15:00:00
15:30,0,0.0,15,30,0,AU-Pre,2004-05-19 15:30:00
16:00,0,0.0,16,0,0,AU-Pre,2004-05-19 16:00:00
16:30,0,0.0,16,30,0,AU-Pre,2004-05-19 16:30:00
17:00,0,0.0,17,0,0,AU-Pre,2004-05-19 17:00:00
17:30,0,0.0,17,30,0,AU-Pre,2004-05-19 17:30:00
18:00,0,0.0,18,0,0,AU-Pre,2004-05-19 18:00:00
18:30,0,0.0,18,30,0,AU-Pre,2004-05-19 18:30:00
19:00,0,0.0,19,0,0,AU-Pre,2004-05-19 19:00:00
19:30,0,0.0,19,30,0,AU-Pre,2004-05-19 19:30:00
20:00,0,0.0,20,0,0,AU-Pre,2004-05-19 20:00:00
20:30,0,0.0,20,30,0,AU-Pre,2004-05-19 20:30:00
21:00,0,0.0,21,0,0,AU-Pre,2004-05-19 21:00:00
21:30,0,0.0,21,30,0,AU-Pre,2004-05-19 21:30:00
22:00,0,0.0,22,0,0,AU-Pre,2004-05-19 22:00:00
22:30,0,0.0,22,30,0,AU-Pre,2004-05-19 22:30:00
23:00,0,0.0,23,0,0,AU-Pre,2004-05-19 23:00:00
23:30,0,0.0,23,30,0,AU-Pre,2004-05-19 23:30:00
