time,lndgrid,urban_heat,hour,minute,index,site,date
00:30,0,-3.0329278,0,30,0,AU-Pre,2004-05-18 00:30:00
01:00,0,1.3769073,1,0,0,AU-Pre,2004-05-18 01:00:00
01:30,0,53.01634,1,30,0,AU-Pre,2004-05-18 01:30:00
02:00,0,4.9850893,2,0,0,AU-Pre,2004-05-18 02:00:00
02:30,0,71.22076,2,30,0,AU-Pre,2004-05-18 02:30:00
03:00,0,15.129745,3,0,0,AU-Pre,2004-05-18 03:00:00
03:30,0,13.229033,3,30,0,AU-Pre,2004-05-18 03:30:00
04:00,0,17.980766,4,0,0,AU-Pre,2004-05-18 04:00:00
04:30,0,5.7769394,4,30,0,AU-Pre,2004-05-18 04:30:00
05:00,0,14.281476,5,0,0,AU-Pre,2004-05-18 05:00:00
05:30,0,18.473124,5,30,0,AU-Pre,2004-05-18 05:30:00
06:00,0,1.9132587,6,0,0,AU-Pre,2004-05-18 06:00:00
06:30,0,-32.318993,6,30,0,AU-Pre,2004-05-18 06:30:00
07:00,0,-40.01452,7,0,0,AU-Pre,2004-05-18 07:00:00
07:30,0,-54.988262,7,30,0,AU-Pre,2004-05-18 07:30:00
08:00,0,-49.98289,8,0,0,AU-Pre,2004-05-18 08:00:00
08:30,0,-44.9625,8,30,0,AU-Pre,2004-05-18 08:30:00
09:00,0,-32.293816,9,0,0,AU-Pre,2004-05-18 09:00:00
09:30,0,-31.533697,9,30,0,AU-Pre,2004-05-18 09:30:00
10:00,0,-33.115547,10,0,0,AU-Pre,2004-05-18 10:00:00
10:30,0,-36.642174,10,30,0,AU-Pre,2004-05-18 10:30:00
11:00,0,-22.481976,11,0,0,AU-Pre,2004-05-18 11:00:00
11:30,0,-20.369303,11,30,0,AU-Pre,2004-05-18 11:30:00
12:00,0,-23.750238,12,0,0,AU-Pre,2004-05-18 12:00:00
12:30,0,-21.719608,12,30,0,AU-Pre,2004-05-18 12:30:00
13:00,0,-23.103424,13,0,0,AU-Pre,2004-05-18 13:00:00
13:30,0,-24.84802,13,30,0,AU-Pre,2004-05-18 13:30:00
14:00,0,-25.908619,14,0,0,AU-Pre,2004-05-18 14:00:00
14:30,0,-27.743626,14,30,0,AU-Pre,2004-05-18 14:30:00
15:00,0,-26.097666,15,0,0,AU-Pre,2004-05-18 15:00:00
15:30,0,-25.874632,15,30,0,AU-Pre,2004-05-18 15:30:00
16:00,0,-28.94201,16,0,0,AU-Pre,2004-05-18 16:00:00
16:30,0,-28.693901,16,30,0,AU-Pre,2004-05-18 16:30:00
17:00,0,-28.168108,17,0,0,AU-Pre,2004-05-18 17:00:00
17:30,0,-28.199213,17,30,0,AU-Pre,2004-05-18 17:30:00
18:00,0,-32.97184,18,0,0,AU-Pre,2004-05-18 18:00:00
18:30,0,-35.53108,18,30,0,AU-Pre,2004-05-18 18:30:00
19:00,0,-33.48734,19,0,0,AU-Pre,2004-05-18 19:00:00
19:30,0,-30.165873,19,30,0,AU-Pre,2004-05-18 19:30:00
20:00,0,-33.068443,20,0,0,AU-Pre,2004-05-18 20:00:00
20:30,0,-34.41849,20,30,0,AU-Pre,2004-05-18 20:30:00
21:00,0,-36.232376,21,0,0,AU-Pre,2004-05-18 21:00:00
21:30,0,-35.984653,21,30,0,AU-Pre,2004-05-18 21:30:00
22:00,0,-27.149652,22,0,0,AU-Pre,2004-05-18 22:00:00
22:30,0,-10.5668955,22,30,0,AU-Pre,2004-05-18 22:30:00
23:00,0,5.6226406,23,0,0,AU-Pre,2004-05-18 23:00:00
23:30,0,16.386026,23,30,0,AU-Pre,2004-05-18 23:30:00
00:00,0,24.636932,0,0,0,AU-Pre,2004-05-19 00:00:00
00:30,0,30.683393,0,30,0,AU-Pre,2004-05-19 00:30:00
01:00,0,37.9634,1,0,0,AU-Pre,2004-05-19 01:00:00
01:30,0,51.117634,1,30,0,AU-Pre,2004-05-19 01:30:00
02:00,0,60.05576,2,0,0,AU-Pre,2004-05-19 02:00:00
02:30,0,78.030785,2,30,0,AU-Pre,2004-05-19 02:30:00
03:00,0,106.65919,3,0,0,AU-Pre,2004-05-19 03:00:00
03:30,0,50.429432,3,30,0,AU-Pre,2004-05-19 03:30:00
04:00,0,21.369347,4,0,0,AU-Pre,2004-05-19 04:00:00
04:30,0,11.096937,4,30,0,AU-Pre,2004-05-19 04:30:00
05:00,0,14.268723,5,0,0,AU-Pre,2004-05-19 05:00:00
05:30,0,-3.1320825,5,30,0,AU-Pre,2004-05-19 05:30:00
06:00,0,-1.1882398,6,0,0,AU-Pre,2004-05-19 06:00:00
06:30,0,-9.27689,6,30,0,AU-Pre,2004-05-19 06:30:00
07:00,0,-17.051884,7,0,0,AU-Pre,2004-05-19 07:00:00
07:30,0,-16.694622,7,30,0,AU-Pre,2004-05-19 07:30:00
08:00,0,-12.384298,8,0,0,AU-Pre,2004-05-19 08:00:00
08:30,0,-11.833811,8,30,0,AU-Pre,2004-05-19 08:30:00
09:00,0,-11.682316,9,0,0,AU-Pre,2004-05-19 09:00:00
09:30,0,-10.646824,9,30,0,AU-Pre,2004-05-19 09:30:00
10:00,0,-11.219973,10,0,0,AU-Pre,2004-05-19 10:00:00
10:30,0,-10.961322,10,30,0,AU-Pre,2004-05-19 10:30:00
11:00,0,-14.473558,11,0,0,AU-Pre,2004-05-19 11:00:00
11:30,0,-13.697001,11,30,0,AU-Pre,2004-05-19 11:30:00
12:00,0,-21.181244,12,0,0,AU-Pre,2004-05-19 12:00:00
