,Index,label_longname,Type
0,0,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
1,1,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
2,2,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
3,3,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
4,4,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
5,5,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
6,6,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
7,7,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
8,8,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
9,9,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
10,10,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
11,11,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
12,12,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
13,13,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
14,14,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
15,15,CANYON_HWR_1.2_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
16,16,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
17,17,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
18,18,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
19,19,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
20,20,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
21,21,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
22,22,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
23,23,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
24,24,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
25,25,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
26,26,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
27,27,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
28,28,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
29,29,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
30,30,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
31,31,CANYON_HWR_1.2_HT_ROOF_0.8_THICK_ROOF_0.8_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
32,32,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
33,33,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
34,34,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
35,35,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
36,36,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
37,37,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
38,38,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
39,39,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_1.2_THICK_WALL_0.8_WTLUNIT_ROOF_0.8_WTROAD_PERV_0.8,morp
40,40,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_1.2,morp
41,41,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_1.2_WTROAD_PERV_0.8,morp
42,42,CANYON_HWR_0.8_HT_ROOF_1.2_THICK_ROOF_0.8_THICK_WALL_1.2_WTLUNIT_ROOF_0.8_WTROAD_PERV_1.2,morp
